MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2011,ACURA,CSX ,COMPACT,2.0,4,AS5,X,9.5,6.5,30,43,1620,3726,,,,,,
2011,ACURA,CSX ,COMPACT,2.0,4,M5,X,8.7,6.4,32,44,1540,3542,,,,,,
2011,ACURA,CSX ,COMPACT,2.0,4,M6,Z,10.2,6.8,28,42,1740,4002,,,,,,
2011,ACURA,MDX AWD ,SPECIAL PURPOSE,3.7,6,AS6,Z,13.2,9.6,21,29,2320,5336,,,,,,
2011,ACURA,RDX AWD TURBO ,SPECIAL PURPOSE,2.3,4,AS5,Z,11.7,8.7,24,32,2060,4738,,,,,,
2011,ACURA,RL AWD ,MID-SIZE,3.7,6,AS6,Z,12.2,8.2,23,34,2080,4784,,,,,,
2011,ACURA,TL ,MID-SIZE,3.5,6,AS5,Z,11.6,7.5,24,38,1940,4462,,,,,,
2011,ACURA,TL AWD ,MID-SIZE,3.7,6,AS5,Z,12.3,8.1,23,35,2080,4784,,,,,,
2011,ACURA,TL AWD ,MID-SIZE,3.7,6,M6,Z,11.9,8.0,24,35,2040,4692,,,,,,
2011,ACURA,TSX ,COMPACT,2.4,4,AS5,Z,9.3,6.2,30,46,1580,3634,,,,,,
2011,ACURA,TSX ,COMPACT,2.4,4,M6,Z,9.9,6.8,29,42,1700,3910,,,,,,
2011,ACURA,TSX ,COMPACT,3.5,6,AS5,Z,10.7,7.0,26,40,1800,4140,,,,,,
2011,ACURA,ZDX AWD ,SPECIAL PURPOSE,3.7,6,AS6,Z,12.7,8.8,22,32,2180,5014,,,,,,
2011,ASTON MARTIN,DB9 ,SUBCOMPACT,5.9,12,AS6,Z,16.2,10.2,17,28,2700,6210,,,,,,
2011,ASTON MARTIN,DB9 ,SUBCOMPACT,5.9,12,M6,Z,18.9,11.7,15,24,3140,7222,,,,,,
2011,ASTON MARTIN,DBS ,SUBCOMPACT,5.9,12,AS6,Z,18.1,11.2,16,25,2980,6854,,,,,,
2011,ASTON MARTIN,DBS ,SUBCOMPACT,5.9,12,M6,Z,19.1,12.1,15,23,3180,7314,,,,,,
2011,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,AS6,Z,16.8,10.4,17,27,2780,6394,,,,,,
2011,ASTON MARTIN,V12 VANTAGE,TWO-SEATER,5.9,12,M6,Z,19.1,12.1,15,23,3180,7314,,,,,,
2011,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,15.3,10.1,18,28,2580,5934,,,,,,
2011,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2720,6256,,,,,,
2011,ASTON MARTIN,V8 VANTAGE S ,TWO-SEATER,4.7,8,AM7,Z,15.6,9.6,18,29,2580,5934,,,,,,
2011,AUDI,A3 ,STATION WAGON,2.0,4,AS6,Z,9.4,6.9,30,41,1660,3818,,,,,,
2011,AUDI,A3 ,STATION WAGON,2.0,4,M6,Z,10.4,6.7,27,42,1740,4002,,,,,,
2011,AUDI,A3 QUATTRO ,STATION WAGON,2.0,4,AS6,Z,9.6,7.5,29,38,1720,3956,,,,,,
2011,AUDI,A3 TDI CLEAN DIESEL ,STATION WAGON,2.0,4,AS6,D,6.7,4.7,42,60,1160,3132,,,,,,
2011,AUDI,A4 ,COMPACT,2.0,4,AV,Z,8.9,6.5,32,43,1560,3588,,,,,,
2011,AUDI,A4 AVANT  ,STATION WAGON,2.0,4,AS8,Z,10.0,7.0,28,40,1740,4002,,,,,,
2011,AUDI,A4 QUATTRO ,COMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,4002,,,,,,
2011,AUDI,A4 QUATTRO ,COMPACT,2.0,4,M6,Z,9.5,6.5,30,43,1620,3726,,,,,,
2011,AUDI,A5 CABRIOLET  ,SUBCOMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,4002,,,,,,
2011,AUDI,A5 COUPE ,SUBCOMPACT,2.0,4,AS8,Z,10.0,7.0,28,40,1740,4002,,,,,,
2011,AUDI,A5 COUPE ,SUBCOMPACT,2.0,4,M6,Z,9.5,6.5,30,43,1620,3726,,,,,,
2011,AUDI,A6  ,MID-SIZE,3.0,6,AS6,Z,12.0,8.0,24,35,2040,4692,,,,,,
2011,AUDI,A6  ,MID-SIZE,4.2,8,AS6,Z,13.0,8.6,22,33,2200,5060,,,,,,
2011,AUDI,A6 AVANT  ,STATION WAGON,3.0,6,AS6,Z,12.0,8.0,24,35,2040,4692,,,,,,
2011,AUDI,A8 ,MID-SIZE,4.2,8,AS8,Z,12.5,7.8,23,36,2080,4784,,,,,,
2011,AUDI,A8L ,FULL-SIZE,4.2,8,AS8,Z,12.5,7.8,23,36,2080,4784,,,,,,
2011,AUDI,Q5 ,SPECIAL PURPOSE,2.0,4,AS8,Z,10.6,7.7,27,37,1860,4278,,,,,,
2011,AUDI,Q5 ,SPECIAL PURPOSE,3.2,6,AS8,Z,11.5,9.0,25,31,2080,4784,,,,,,
2011,AUDI,Q7 ,SPECIAL PURPOSE,3.0,6,AS8,Z,13.6,9.3,21,30,2320,5336,,,,,,
2011,AUDI,Q7 TDI CLEAN DIESEL ,SPECIAL PURPOSE,3.0,6,AS8,D,12.3,7.4,23,38,2020,5454,,,,,,
2011,AUDI,R8 COUPE ,TWO-SEATER,4.2,8,AS6,Z,19.1,11.3,15,25,3120,7176,,,,,,
2011,AUDI,R8 COUPE ,TWO-SEATER,4.2,8,M6,Z,16.3,10.2,17,28,2720,6256,,,,,,
2011,AUDI,R8 COUPE ,TWO-SEATER,5.2,10,AS6,Z,17.0,11.4,17,25,2900,6670,,,,,,
