MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2001,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.3,7.4,23,38,2019,4644,,,,,,
2001,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.2,21,31,2302,5295,,,,,,
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,10.0,7.1,28,40,1739,4000,,,,,,
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,9.3,7.0,30,40,1653,3802,,,,,,
2001,ACURA,INTEGRA GS-R,SUBCOMPACT,1.8,4,M5,Z,9.4,7.1,30,40,1673,3848,,,,,,
2001,ACURA,MDX,SPECIAL PURPOSE,3.5,6,A5,Z,13.9,9.4,20,30,2375,5463,,,,,,
2001,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,13.7,9.2,21,31,2335,5371,,,,,,
2001,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,14.0,9.1,20,31,2359,5426,,,,,,
2001,AUDI,A4,COMPACT,1.8,4,A5,Z,11.7,7.6,24,37,1971,4533,,,,,,
2001,AUDI,A4,COMPACT,1.8,4,M5,Z,10.4,6.8,27,42,1756,4039,,,,,,
2001,AUDI,A4,COMPACT,2.8,6,A5,Z,13.0,8.2,22,34,2168,4986,,,,,,
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,11.8,7.9,24,36,2009,4621,,,,,,
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,10.8,7.2,26,39,1836,4223,,,,,,
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,13.3,8.5,21,33,2228,5124,,,,,,
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,12.7,8.7,22,32,2180,5014,,,,,,
2001,AUDI,A6,MID-SIZE,2.8,6,A5,Z,13.4,8.6,21,33,2248,5170,,,,,,
2001,AUDI,A6 AVANT QUATTRO WAGON,STATION WAGON,2.8,6,A5,Z,13.8,9.1,20,31,2337,5375,,,,,,
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,13.6,8.9,21,32,2297,5283,,,,,,
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.6,9.1,21,31,2315,5325,,,,,,
2001,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2337,5375,,,,,,
2001,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,13.8,8.7,20,32,2301,5292,,,,,,
2001,AUDI,A8 L,FULL-SIZE,4.2,8,A5,Z,13.8,8.7,20,32,2301,5292,,,,,,
2001,AUDI,A8 QUATTRO,FULL-SIZE,4.2,8,A5,Z,13.8,8.7,20,32,2301,5292,,,,,,
2001,AUDI,ALLROAD,SPECIAL PURPOSE,2.7,6,A5,Z,15.4,10.5,18,27,2639,6070,,,,,,
2001,AUDI,ALLROAD,SPECIAL PURPOSE,2.7,6,M6,Z,14.8,10.4,19,27,2564,5897,,,,,,
2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,13.6,8.9,21,32,2297,5283,,,,,,
2001,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,13.6,9.1,21,31,2315,5325,,,,,,
2001,AUDI,S8 QUATTRO #,MID-SIZE,4.2,8,A5,Z,16.0,10.1,18,28,2669,6139,,,,,,
2001,AUDI,TT COUPE QUATTRO,TWO-SEATER,1.8,4,M5,Z,11.6,7.6,24,37,1960,4508,,,,,,
2001,AUDI,TT COUPE QUATTRO #,TWO-SEATER,1.8,4,M6,Z,11.6,7.7,24,37,1969,4529,,,,,,
2001,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,10.9,7.3,26,39,1856,4269,,,,,,
2001,AUDI,TT ROADSTER QUATTRO #,TWO-SEATER,1.8,4,M6,Z,11.6,7.7,24,37,1969,4529,,,,,,
2001,BMW,320i,COMPACT,2.2,6,A5,Z,11.6,7.4,24,38,1942,4467,,,,,,
2001,BMW,320i,COMPACT,2.2,6,M5,Z,11.3,7.2,25,39,1891,4349,,,,,,
2001,BMW,325Ci,SUBCOMPACT,2.5,6,A5,Z,11.8,7.9,24,36,2009,4621,,,,,,
2001,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,11.5,7.3,25,39,1922,4421,,,,,,
2001,BMW,325Ci CONVERTIBLE,SUBCOMPACT,2.5,6,A5,Z,12.2,8.2,23,34,2080,4784,,,,,,
