MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2002,ACURA,1.7EL,COMPACT,1.7,4,A4,X,8.2,6.1,34,46,1451,3337,,,,,,
2002,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.6,6.0,37,47,1376,3165,,,,,,
2002,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,12.1,7.4,23,38,1997,4593,,,,,,
2002,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.0,7.4,24,38,1986,4568,,,,,,
2002,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.1,21,31,2293,5274,,,,,,
2002,ACURA,MDX,SPECIAL PURPOSE,3.5,6,A5,Z,13.9,9.4,20,30,2375,5463,,,,,,
2002,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,13.7,9.2,21,31,2335,5371,,,,,,
2002,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,14.0,9.1,20,31,2359,5426,,,,,,
2002,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.7,6.6,29,43,1661,3820,,,,,,
2002,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.8,6.6,32,43,1562,3593,,,,,,
2002,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,9.7,6.9,29,41,1688,3882,,,,,,
2002,AUDI,A4,COMPACT,1.8,4,AV,Z,11.4,7.5,25,38,1929,4437,,,,,,
2002,AUDI,A4,COMPACT,1.8,4,M5,Z,10.6,6.9,27,41,1787,4110,,,,,,
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,12.2,7.7,23,37,2035,4681,,,,,,
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,11.3,7.5,25,38,1918,4411,,,,,,
2002,AUDI,A4 QUATTRO,COMPACT,3.0,6,AS5,Z,13.5,8.4,21,34,2241,5154,,,,,,
