MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR
2010,BENTLEY,CONTINENTAL SUPERSPORTS,TWO-SEATER,6,12,AS6,Z,18.1,11.3,16,25,3020,6946
2010,BMW,128i CABRIOLET,SUBCOMPACT,3,6,A6,Z,11.3,7.4,25,38,1900,4370
2010,BMW,128i CABRIOLET,SUBCOMPACT,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,128i COUPE,SUBCOMPACT,3,6,A6,Z,11.3,6.9,25,41,1860,4278
2010,BMW,128i COUPE,SUBCOMPACT,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,135i CABRIOLET,SUBCOMPACT,3,6,A6,Z,11.9,7.9,24,36,2020,4646
2010,BMW,135i CABRIOLET,SUBCOMPACT,3,6,M6,Z,11.6,7.7,24,37,1960,4508
2010,BMW,135i COUPE,SUBCOMPACT,3,6,A6,Z,11.9,7.9,24,36,2020,4646
2010,BMW,135i COUPE,SUBCOMPACT,3,6,M6,Z,11.6,7.7,24,37,1960,4508
2010,BMW,323i,COMPACT,2.5,6,A6,Z,11.2,6.7,25,42,1840,4232
2010,BMW,323i,COMPACT,2.5,6,M6,Z,11.1,6.9,25,41,1840,4232
2010,BMW,328i,COMPACT,3,6,A6,Z,11.3,6.9,25,41,1860,4278
2010,BMW,328i,COMPACT,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,328i CABRIOLET,SUBCOMPACT,3,6,A6,Z,11.3,7.4,25,38,1900,4370
2010,BMW,328i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.2,7.4,23,38,2020,4646
2010,BMW,328i COUPE,SUBCOMPACT,3,6,A6,Z,11.3,6.9,25,41,1860,4278
2010,BMW,328i COUPE,SUBCOMPACT,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,328i xDRIVE,COMPACT,3,6,A6,Z,11.9,7.8,24,36,2020,4646
2010,BMW,328i xDRIVE,COMPACT,3,6,M6,Z,12.2,7.6,23,37,2040,4692
2010,BMW,328i xDRIVE COUPE,SUBCOMPACT,3,6,A6,Z,11.9,7.8,24,36,2020,4646
2010,BMW,328i xDRIVE COUPE,SUBCOMPACT,3,6,M6,Z,12.2,7.6,23,37,2040,4692
2010,BMW,328i xDRIVE TOURING,STATION WAGON,3,6,A6,Z,11.9,7.8,24,36,2020,4646
2010,BMW,328i xDRIVE TOURING,STATION WAGON,3,6,M6,Z,12.2,7.6,23,37,2040,4692
2010,BMW,335d,COMPACT,3,6,A6,D,9,5.4,31,52,1480,3996
2010,BMW,335i,COMPACT,3,6,A6,Z,11.8,7.5,24,38,1980,4554
2010,BMW,335i,COMPACT,3,6,M6,Z,11.7,7.6,24,37,1960,4508
2010,BMW,335i CABRIOLET,SUBCOMPACT,3,6,A6,Z,11.8,7.5,24,38,1980,4554
2010,BMW,335i CABRIOLET,SUBCOMPACT,3,6,M6,Z,11.7,7.6,24,37,1960,4508
2010,BMW,335i COUPE,SUBCOMPACT,3,6,A6,Z,11.8,7.5,24,38,1980,4554
2010,BMW,335i COUPE,SUBCOMPACT,3,6,M6,Z,11.7,7.6,24,37,1960,4508
2010,BMW,335i xDRIVE,COMPACT,3,6,A6,Z,12.3,7.9,23,36,2060,4738
2010,BMW,335i xDRIVE,COMPACT,3,6,M6,Z,12.1,7.9,23,36,2040,4692
2010,BMW,335i xDRIVE COUPE,SUBCOMPACT,3,6,A6,Z,12.3,7.9,23,36,2060,4738
2010,BMW,335i xDRIVE COUPE,SUBCOMPACT,3,6,M6,Z,12.1,7.9,23,36,2040,4692
2010,BMW,528i,MID-SIZE,3,6,A6,Z,11.3,7.4,25,38,1900,4370
2010,BMW,528i,MID-SIZE,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,528i xDRIVE,MID-SIZE,3,6,A6,Z,11.9,7.8,24,36,2020,4646
2010,BMW,528i xDRIVE,MID-SIZE,3,6,M6,Z,12.2,7.6,23,37,2040,4692
2010,BMW,535i GRAN TURISMO,FULL-SIZE,3,6,A8,Z,10.7,7.1,26,40,1820,4186
2010,BMW,535i xDRIVE,MID-SIZE,3,6,A6,Z,12.3,7.9,23,36,2060,4738
2010,BMW,535i xDRIVE,MID-SIZE,3,6,M6,Z,12.1,7.9,23,36,2040,4692
2010,BMW,535i xDRIVE TOURING,STATION WAGON,3,6,A6,Z,12.8,8.2,22,34,2140,4922
2010,BMW,535i xDRIVE TOURING,STATION WAGON,3,6,M6,Z,13.5,8.5,21,33,2240,5152
2010,BMW,550i,MID-SIZE,4.8,8,A6,Z,13.5,8.5,21,33,2240,5152
2010,BMW,550i,MID-SIZE,4.8,8,M6,Z,14,9,20,31,2340,5382
2010,BMW,550i GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,14,9.2,20,31,2360,5428
2010,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,A6,Z,14,8.7,20,32,2320,5336
2010,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,M6,Z,15,9.6,19,29,2520,5796
2010,BMW,650i COUPE,SUBCOMPACT,4.8,8,A6,Z,13.5,8.5,21,33,2240,5152
2010,BMW,650i COUPE,SUBCOMPACT,4.8,8,M6,Z,14,9,20,31,2340,5382
2010,BMW,750i,FULL-SIZE,4.4,8,A6,Z,14.4,9.1,20,31,2400,5520
2010,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A6,Z,15.4,10,18,28,2600,5980
2010,BMW,750Li,FULL-SIZE,4.4,8,A6,Z,14.8,9.3,19,30,2460,5658
2010,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A6,Z,15.4,10,18,28,2600,5980
2010,BMW,760Li,FULL-SIZE,6,12,A8,Z,15.8,10.2,18,28,2660,6118
2010,BMW,ACTIVEHYBRID X6,SPECIAL PURPOSE,4.4,8,A7,Z,12.6,10.3,22,27,2320,5336
2010,BMW,M3 CABRIOLET,SUBCOMPACT,4,8,AM7,Z,15.6,10.1,18,28,2620,6026
2010,BMW,M3 CABRIOLET,SUBCOMPACT,4,8,M6,Z,15.7,10.1,18,28,2640,6072
2010,BMW,M3 COUPE,SUBCOMPACT,4,8,AM7,Z,15.4,9.9,18,29,2580,5934
2010,BMW,M3 COUPE,SUBCOMPACT,4,8,M6,Z,15.3,9.7,18,29,2560,5888
2010,BMW,M3 SEDAN,COMPACT,4,8,AM7,Z,15.4,9.9,18,29,2580,5934
2010,BMW,M3 SEDAN,COMPACT,4,8,M6,Z,15.3,9.7,18,29,2560,5888
2010,BMW,M5,MID-SIZE,5,10,AM7,Z,17.9,11,16,26,2960,6808
2010,BMW,M5,MID-SIZE,5,10,M6,Z,19.9,11.8,14,24,3240,7452
2010,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,AM7,Z,18,10.8,16,26,2960,6808
2010,BMW,M6 CABRIOLET,SUBCOMPACT,5,10,M6,Z,20.3,11.7,14,24,3280,7544
2010,BMW,M6 COUPE,SUBCOMPACT,5,10,AM7,Z,17.9,11,16,26,2960,6808
2010,BMW,M6 COUPE,SUBCOMPACT,5,10,M6,Z,19.9,11.8,14,24,3240,7452
2010,BMW,X3 xDRIVE28i,SPECIAL PURPOSE,3,6,A6,Z,12.2,8.3,23,34,2100,4830
2010,BMW,X3 xDRIVE28i,SPECIAL PURPOSE,3,6,M6,Z,12.7,8.3,22,34,2140,4922
2010,BMW,X3 xDRIVE30i,SPECIAL PURPOSE,3,6,A6,Z,12.2,8.3,23,34,2100,4830
2010,BMW,X3 xDRIVE30i,SPECIAL PURPOSE,3,6,M6,Z,12.7,8.3,22,34,2140,4922
2010,BMW,X5 M,SPECIAL PURPOSE,4.4,8,A6,Z,17,11.9,17,24,2940,6762
2010,BMW,X5 xDRIVE30i,SPECIAL PURPOSE,3,6,A6,Z,13.6,9.3,21,30,2340,5382
2010,BMW,X5 xDRIVE35d,SPECIAL PURPOSE,3,6,A6,D,10.7,7.5,26,38,1860,5022
2010,BMW,X5 xDRIVE48i,SPECIAL PURPOSE,4.8,8,A6,Z,15.6,10.2,18,28,2640,6072
2010,BMW,X6 M,SPECIAL PURPOSE,4.4,8,A6,Z,17,11.9,17,24,2940,6762
2010,BMW,X6 xDRIVE35i,SPECIAL PURPOSE,3,6,A6,Z,14.4,10,20,28,2480,5704
2010,BMW,X6 xDRIVE50i,SPECIAL PURPOSE,4.4,8,A6,Z,17.1,11,17,26,2860,6578
2010,BMW,Z4 sDRIVE30i,TWO-SEATER,3,6,A6,Z,11.3,6.9,25,41,1860,4278
2010,BMW,Z4 sDRIVE30i,TWO-SEATER,3,6,M6,Z,10.8,6.9,26,41,1800,4140
2010,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,12.1,8.2,23,34,2060,4738
2010,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,11.6,7.7,24,37,1960,4508
2010,BUGATTI,VEYRON,TWO-SEATER,8,16,AS7,Z,27.5,15.5,10,18,4420,10166
2010,BUICK,ENCLAVE,SPECIAL PURPOSE,3.6,6,A6,X,12.7,8.4,22,34,2160,4968
2010,BUICK,ENCLAVE AWD,SPECIAL PURPOSE,3.6,6,A6,X,13.4,9,21,31,2280,5244
2010,BUICK,LACROSSE,MID-SIZE,3,6,AS6,X,12.7,7.7,22,37,2080,4784
2010,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Z,12.2,7.3,23,39,2000,4600
2010,BUICK,LACROSSE AWD,MID-SIZE,3,6,AS6,X,13.3,8,21,35,2180,5014
2010,BUICK,LUCERNE,FULL-SIZE,3.9,6,A4,X,12,7.4,24,38,2000,4600
2010,BUICK,LUCERNE,FULL-SIZE,3.9,6,A4,E,16.3,10.1,17,28,2700,4320
2010,BUICK,LUCERNE,FULL-SIZE,4.6,8,A4,Z,13.8,8.7,20,32,2300,5290
2010,CADILLAC,CTS,MID-SIZE,3,6,AS6,X,11.3,7.2,25,39,1900,4370
2010,CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,11.4,6.9,25,41,1880,4324
2010,CADILLAC,CTS,MID-SIZE,3.6,6,M6,X,13,7.9,22,36,2140,4922
2010,CADILLAC,CTS AWD,MID-SIZE,3,6,AS6,X,11.9,7.7,24,37,2000,4600
2010,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,11.7,7.4,24,38,1960,4508
2010,CADILLAC,CTS SPORT WAGON,STATION WAGON,3,6,AS6,X,11.3,7.2,25,39,1900,4370
2010,CADILLAC,CTS SPORT WAGON,STATION WAGON,3.6,6,AS6,X,11.8,7.5,24,38,1960,4508
2010,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON,3,6,AS6,X,11.9,7.7,24,37,2000,4600
2010,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON,3.6,6,AS6,X,11.7,7.4,24,38,1960,4508
2010,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS6,Z,17.5,11,16,26,2920,6716
2010,CADILLAC,CTS-V,MID-SIZE,6.2,8,M6,Z,14.9,10.5,19,27,2580,5934
2010,CADILLAC,DTS,FULL-SIZE,4.6,8,A4,Z,13.8,8.7,20,32,2300,5290
2010,CADILLAC,ESCALADE AWD,SPECIAL PURPOSE,6.2,8,A6,Z,15.3,10.1,18,28,2600,5980
