MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2005,ACURA        ,1.7EL,COMPACT,1.7,4,A4,X,7.9,6.0,36,47,1420,3266,,,,,,
2005,ACURA        ,1.7EL,COMPACT,1.7,4,M5,X,7.8,6.1,36,46,1400,3220,,,,,,
2005,ACURA,MDX AWD,SPECIAL PURPOSE,3.5,6,A5,Z,14.2,9.4,20,30,2421,5568,,,,,,
2005,ACURA        ,NSX,TWO-SEATER,3.0,6,AS4,Z,13.5,8.9,21,32,2279,5242,,,,,,
2005,ACURA        ,NSX,TWO-SEATER,3.2,6,M6,Z,13.5,8.9,21,32,2300,5290,,,,,,
2005,ACURA        ,RL,MID-SIZE,3.5,6,AS5,Z,12.9,8.4,22,34,2160,4968,,,,,,
2005,ACURA        ,RSX,SUBCOMPACT,2.0,4,AS5,X,9.3,6.4,30,44,1600,3680,,,,,,
2005,ACURA        ,RSX,SUBCOMPACT,2.0,4,M5,X,8.6,6.4,33,44,1520,3496,,,,,,
2005,ACURA        ,RSX,SUBCOMPACT,2.0,4,M6,Z,10.4,7.0,27,40,1760,4048,,,,,,
2005,ACURA        ,TL,MID-SIZE,3.2,6,AS5,Z,11.8,7.5,24,38,1979,4552,,,,,,
2005,ACURA        ,TL,MID-SIZE,3.2,6,M6,Z,11.8,7.5,24,38,1960,4508,,,,,,
2005,ACURA        ,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.1,27,40,1800,4140,,,,,,
2005,ACURA        ,TSX,COMPACT,2.4,4,M6,Z,11.0,7.3,26,39,1860,4278,,,,,,
2005,AUDI,ALLROAD QUATTRO,SPECIAL PURPOSE,2.7,6,AS5,Z,14.3,9.8,20,29,2460,5658,,,,,,
