MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2013,ACURA,ILX,COMPACT,2.0,4,AS5,Z,8.6,5.6,33,50,1440,3312,,,,,,
2013,ACURA,ILX,COMPACT,2.4,4,M6,Z,9.8,6.5,29,43,1660,3818,,,,,,
2013,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,5.0,4.8,56,59,980,2254,,,,,,
2013,ACURA,MDX AWD,SPECIAL PURPOSE,3.7,6,AS6,Z,13.2,9.6,21,29,2320,5336,,,,,,
2013,ACURA,RDX AWD,SPECIAL PURPOSE,3.5,6,AS6,Z,10.7,7.3,26,39,1840,4232,,,,,,
2013,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,10.4,6.8,27,42,1760,4048,,,,,,
2013,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,11.4,7.6,25,37,1940,4462,,,,,,
2013,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,11.9,8.0,24,35,2040,4692,,,,,,
2013,ACURA,TSX,COMPACT,2.4,4,AS5,Z,9.3,6.2,30,46,1580,3634,,,,,,
2013,ACURA,TSX,COMPACT,2.4,4,M6,Z,9.9,6.8,29,42,1700,3910,,,,,,
2013,ACURA,TSX,COMPACT,3.5,6,AS5,Z,10.7,7.0,26,40,1800,4140,,,,,,
2013,ACURA,ZDX AWD,SPECIAL PURPOSE,3.7,6,AS6,Z,12.7,8.8,22,32,2180,5014,,,,,,
2013,ASTON MARTIN,DB9,SUBCOMPACT,5.9,12,A6,Z,16.2,10.7,17,26,2740,6302,,,,,,
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,5934,,,,,,
2013,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,6302,,,,,,
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,15.7,9.6,18,29,2580,5934,,,,,,
2013,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,16.3,10.4,17,27,2740,6302,,,,,,
2013,AUDI,A3,STATION WAGON,2.0,4,AS6,Z,9.4,6.9,30,41,1660,3818,,,,,,
2013,AUDI,A3,STATION WAGON,2.0,4,M6,Z,10.4,6.7,27,42,1740,4002,,,,,,
2013,AUDI,A3 QUATTRO,STATION WAGON,2.0,4,AM6,Z,9.6,7.5,29,38,1720,3956,,,,,,
2013,AUDI,A3 TDI CLEAN DIESEL,STATION WAGON,2.0,4,AS6,D,6.7,4.7,42,60,1160,3132,,,,,,
2013,AUDI,A4,COMPACT,2.0,4,AV8,Z,8.6,6.2,33,46,1500,3450,,,,,,
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,3956,,,,,,
2013,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,9.5,6.3,30,45,1620,3726,,,,,,
2013,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,3956,,,,,,
2013,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,10.1,6.8,28,42,1720,3956,,,,,,
2013,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,9.5,6.3,30,45,1620,3726,,,,,,
2013,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,10.5,6.8,27,42,1780,4094,,,,,,
2013,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.3,7.3,25,39,1900,4370,,,,,,
2013,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.3,7.4,25,38,1900,4370,,,,,,
2013,AUDI,A8,MID-SIZE,3.0,6,AS8,Z,12.0,7.2,24,39,1960,4508,,,,,,
2013,AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,12.4,7.6,23,37,2040,4692,,,,,,
2013,AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,13.2,8.2,21,34,2180,5014,,,,,,
2013,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,16.4,10.8,17,26,2780,6394,,,,,,
2013,AUDI,ALLROAD QUATTRO,STATION WAGON,2.0,4,AS8,Z,10.4,7.4,27,38,1800,4140,,,,,,
2013,AUDI,Q5,SPECIAL PURPOSE,2.0,4,AS8,Z,10.5,7.2,27,39,1800,4140,,,,,,
2013,AUDI,Q5 HYBRID,SPECIAL PURPOSE,2.0,4,AS8,Z,8.6,6.9,33,41,1560,3588,,,,,,
2013,AUDI,Q7,SPECIAL PURPOSE,3.0,6,AS8,Z,13.6,9.3,21,30,2320,5336,,,,,,
2013,AUDI,Q7 TDI CLEAN DIESEL,SPECIAL PURPOSE,3.0,6,AS8,D,11.5,7.1,25,40,1900,5130,,,,,,
2013,AUDI,RS 5,SUBCOMPACT,4.2,8,AM7,Z,13.7,9.2,21,31,2340,5382,,,,,,
2013,AUDI,S4,COMPACT,3.0,6,AM7,Z,11.7,7.7,24,37,1980,4554,,,,,,
2013,AUDI,S4,COMPACT,3.0,6,M6,Z,13.1,8.3,22,34,2180,5014,,,,,,
2013,AUDI,S5,SUBCOMPACT,3.0,6,AM7,Z,11.7,7.7,24,37,1980,4554,,,,,,
2013,AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,13.1,8.3,22,34,2180,5014,,,,,,
2013,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,11.8,8.0,24,35,2020,4646,,,,,,
2013,AUDI,S6,MID-SIZE,4.0,8,AM7,Z,12.7,8.3,22,34,2140,4922,,,,,,
2013,AUDI,S7,MID-SIZE,4.0,8,AM7,Z,12.7,8.3,22,34,2140,4922,,,,,,
2013,AUDI,S8,MID-SIZE,4.0,8,AS8,Z,13.8,8.3,20,34,2260,5198,,,,,,
2013,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,9.1,6.4,31,44,1580,3634,,,,,,
2013,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,9.1,6.4,31,44,1580,3634,,,,,,
2013,AUDI,TT RS COUPE,SUBCOMPACT,2.5,5,M6,Z,12.3,8.1,23,35,2080,4784,,,,,,
2013,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.4,28,38,1780,4094,,,,,,
2013,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,10.1,7.4,28,38,1780,4094,,,,,,
2013,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6.0,12,AM6,Z,19.1,11.2,15,25,3120,7176,,,,,,
2013,BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,13.8,8.3,20,34,2260,5198,,,,,,
2013,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS6,Z,18.8,11.2,15,25,3080,7084,,,,,,
2013,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,15.0,9.0,19,31,2460,5658,,,,,,
2013,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AM6,Z,19.1,11.2,15,25,3120,7176,,,,,,
2013,BENTLEY,CONTINENTAL SUPERSPORTS CONVERTIBLE,SUBCOMPACT,6.0,12,AM6,Z,18.8,11.2,15,25,3080,7084,,,,,,
2013,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.3,12.7,14,22,3380,7774,,,,,,
2013,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,11.4,7.4,25,38,1920,4416,,,,,,
