MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,9.2,6.7,31,42,1615,3715,,,,,,
2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,8.5,6.5,33,43,1520,3496,,,,,,
2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.2,7.4,23,38,2008,4618,,,,,,
2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.4,9.2,21,31,2302,5295,,,,,,
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,10.0,7.0,28,40,1730,3979,,,,,,
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,9.3,6.8,30,42,1635,3761,,,,,,
2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,9.4,7.0,30,40,1664,3827,,,,,,
2000,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,13.6,9.2,21,31,2324,5345,,,,,,
2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,13.8,9.1,20,31,2337,5375,,,,,,
2000,AUDI,A4,COMPACT,1.8,4,A5,Z,11.4,7.2,25,39,1902,4375,,,,,,
2000,AUDI,A4,COMPACT,1.8,4,M5,Z,9.7,6.8,29,42,1679,3862,,,,,,
2000,AUDI,A4,COMPACT,2.8,6,A5,Z,13.0,8.2,22,34,2168,4986,,,,,,
2000,AUDI,A4,COMPACT,2.8,6,M5,Z,11.7,7.5,24,38,1962,4513,,,,,,
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,12.1,7.7,23,37,2024,4655,,,,,,
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,10.7,7.5,26,38,1852,4260,,,,,,
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,13.3,8.5,21,33,2228,5124,,,,,,
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,12.7,8.7,22,32,2180,5014,,,,,,
2000,AUDI,A6,MID-SIZE,2.8,6,A5,Z,13.4,8.6,21,33,2248,5170,,,,,,
2000,AUDI,A6 AVANT QUATTRO,STATION WAGON,2.8,6,A5,Z,13.8,9.1,20,31,2337,5375,,,,,,
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,13.6,9.0,21,31,2306,5304,,,,,,
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.6,9.1,21,31,2315,5325,,,,,,
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,13.8,9.1,20,31,2337,5375,,,,,,
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,13.0,9.2,22,31,2258,5193,,,,,,
2000,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,13.9,9.1,20,31,2348,5400,,,,,,
2000,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,13.9,9.1,20,31,2348,5400,,,,,,
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,13.6,9.0,21,31,2306,5304,,,,,,
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,13.6,9.1,21,31,2315,5325,,,,,,
2000,AUDI,TT COUPE QUATTRO,TWO-SEATER,1.8,4,M5,Z,11.6,7.6,24,37,1960,4508,,,,,,
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,11.6,7.7,24,37,1969,4529,,,,,,
2000,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,10.9,7.3,26,39,1856,4269,,,,,,
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,11.6,7.7,24,37,1969,4529,,,,,,
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,A5,Z,13.0,8.9,22,32,2231,5131,,,,,,
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,M5,Z,12.4,8.6,23,33,2138,4917,,,,,,
2000,BMW,323Ci,COMPACT,2.5,6,A5,Z,12.3,7.8,23,36,2055,4727,,,,,,
2000,BMW,323Ci,COMPACT,2.5,6,M5,Z,11.5,7.5,25,38,1940,4462,,,,,,
2000,BMW,323i,COMPACT,2.5,6,A5,Z,12.3,7.8,23,36,2055,4727,,,,,,
2000,BMW,323i,COMPACT,2.5,6,M5,Z,11.5,7.5,25,38,1940,4462,,,,,,
2000,BMW,328Ci,COMPACT,2.8,6,A5,Z,12.4,7.9,23,36,2075,4773,,,,,,
2000,BMW,328Ci,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,4462,,,,,,
2000,BMW,328i,COMPACT,2.8,6,A5,Z,12.4,7.9,23,36,2075,4773,,,,,,
2000,BMW,328i,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,4462,,,,,,
2000,BMW,528i,COMPACT,2.8,6,A4,Z,13.0,8.4,22,34,2186,5028,,,,,,
2000,BMW,528i,COMPACT,2.8,6,M5,Z,11.5,7.5,25,38,1940,4462,,,,,,
2000,BMW,528i TOURING,STATION WAGON,2.8,6,A4,Z,13.0,8.4,22,34,2186,5028,,,,,,
2000,BMW,528i TOURING,STATION WAGON,2.8,6,M5,Z,12.9,8.3,22,34,2166,4982,,,,,,
2000,BMW,540i,COMPACT,4.4,8,A5,Z,13.1,8.8,22,32,2233,5136,,,,,,
2000,BMW,540i,COMPACT,4.4,8,M6,Z,14.7,9.1,19,31,2436,5603,,,,,,
2000,BMW,540i TOURING,STATION WAGON,4.4,8,A5,Z,13.9,10.1,20,28,2438,5607,,,,,,
2000,BMW,740i,MID-SIZE,4.4,8,A5,Z,13.8,9.2,20,31,2346,5396,,,,,,
2000,BMW,740iL,FULL-SIZE,4.4,8,A5,Z,13.8,9.2,20,31,2346,5396,,,,,,
2000,BMW,750iL,FULL-SIZE,5.4,12,A5,Z,17.3,10.8,16,26,2875,6613,,,,,,
2000,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,12.4,8.5,23,33,2129,4897,,,,,,
2000,BMW,M ROADSTER,TWO-SEATER,3.2,6,M5,Z,12.4,8.5,23,33,2129,4897,,,,,,
2000,BMW,M5,COMPACT,4.9,8,M6,Z,17.7,10.4,16,27,2883,6631,,,,,,
2000,BMW,X5,SPECIAL PURPOSE,4.4,8,A5,Z,13.3,8.6,21,33,2237,5145,,,,,,
2000,BMW,Z3,SUBCOMPACT,2.5,6,A4,Z,12.5,8.3,23,34,2122,4881,,,,,,
2000,BMW,Z3,SUBCOMPACT,2.5,6,M5,Z,11.9,8.0,24,35,2029,4667,,,,,,
2000,BMW,Z3,SUBCOMPACT,2.8,6,A4,Z,12.4,8.4,23,34,2120,4876,,,,,,
2000,BMW,Z3,SUBCOMPACT,2.8,6,M5,Z,12.4,8.4,23,34,2120,4876,,,,,,
2000,BMW,Z8,TWO-SEATER,4.9,8,M6,Z,17.4,11.1,16,25,2913,6700,,,,,,
2000,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,11.6,7.3,24,39,1933,4446,,,,,,
2000,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,12.3,7.3,23,39,2010,4623,,,,,,
2000,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,12.8,7.7,22,37,2101,4832,,,,,,
2000,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,13.5,8.0,21,35,2205,5072,,,,,,
2000,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,12.0,7.4,24,38,1986,4568,,,,,,
2000,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,13.5,8.0,21,35,2205,5072,,,,,,
2000,CADILLAC,CATERA,MID-SIZE,3.0,6,A4,Z,13.1,8.8,22,32,2233,5136,,,,,,
2000,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,13.9,8.1,20,35,2258,5193,,,,,,
2000,CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,Z,13.9,8.1,20,35,2258,5193,,,,,,
2000,CADILLAC,ESCALADE 4X4,SPECIAL PURPOSE,5.7,8,A4,X,19.2,13.4,15,21,3318,7631,,,,,,
2000,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,Z,13.9,8.1,20,35,2258,5193,,,,,,
2000,CHEVROLET,ASTRO AWD CARGO,MINIVAN,4.3,6,A4,X,15.3,11.1,18,25,2682,6169,,,,,,
2000,CHEVROLET,ASTRO AWD PASSENGER,MINIVAN,4.3,6,A4,X,15.7,11.4,18,25,2753,6332,,,,,,
2000,CHEVROLET,ASTRO CARGO,MINIVAN,4.3,6,A4,X,14.5,10.8,19,26,2567,5904,,,,,,
2000,CHEVROLET,ASTRO PASSENGER,MINIVAN,4.3,6,A4,X,15.9,11.9,18,24,2820,6486,,,,,,
2000,CHEVROLET,BLAZER,SPECIAL PURPOSE,4.3,6,A4,X,14.5,10.8,19,26,2567,5904,,,,,,
2000,CHEVROLET,BLAZER,SPECIAL PURPOSE,4.3,6,M5,X,14.6,9.9,19,29,2497,5743,,,,,,
2000,CHEVROLET,BLAZER 4X4,SPECIAL PURPOSE,4.3,6,A4,X,15.2,11.1,19,25,2671,6143,,,,,,
2000,CHEVROLET,BLAZER 4X4,SPECIAL PURPOSE,4.3,6,M5,X,16.9,12.4,17,23,2975,6843,,,,,,
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.3,6,A4,X,15.9,11.9,18,24,2820,6486,,,,,,
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.3,6,M5,X,16.7,12.3,17,23,2944,6771,,,,,,
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.8,8,A4,X,14.6,10.4,19,27,2542,5847,,,,,,
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,4.8,8,M5,X,17.1,11.0,17,26,2871,6603,,,,,,
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK,5.3,8,A4,X,15.0,10.8,19,26,2622,6031,,,,,,
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK,5.3,8,A4,X,16.1,12.0,18,24,2851,6557,,,,,,
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK,6.0,8,A4,X,19.4,13.6,15,21,3358,7723,,,,,,
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,12.4,7.5,23,38,2039,4690,,,,,,
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,12.2,7.1,23,40,1981,4556,,,,,,
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,13.8,9.1,20,31,2337,5375,,,,,,
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,13.1,8.1,22,35,2170,4991,,,,,,
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,10.2,6.9,28,41,1743,4009,,,,,,
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,10.8,6.5,26,43,1773,4078,,,,,,
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,11.0,7.4,26,38,1876,4315,,,,,,
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,10.7,6.5,26,43,1762,4053,,,,,,
2000,CHEVROLET,CAVALIER BIFUEL,SUBCOMPACT,2.2,4,A3,X,10.4,7.5,27,38,1819,4184,,,,,,
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,13.9,9.1,20,31,2348,5400,,,,,,
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,M6,Z,12.8,7.9,22,36,2119,4874,,,,,,
2000,CHEVROLET,G15/G25 CHEVY VAN,MINIVAN,4.3,6,A4,X,16.0,11.9,18,24,2831,6511,,,,,,
2000,CHEVROLET,G15/G25 CHEVY VAN,MINIVAN,5.0,8,A4,X,16.4,11.8,17,24,2866,6592,,,,,,
2000,CHEVROLET,G15/G25 CHEVY VAN,MINIVAN,5.7,8,A4,X,17.4,12.7,16,22,3057,7031,,,,,,
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,MINIVAN,4.3,6,A4,X,16.5,12.2,17,23,2913,6700,,,,,,
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,MINIVAN,5.0,8,A4,X,16.7,12.3,17,23,2944,6771,,,,,,
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,MINIVAN,5.7,8,A4,X,18.7,13.6,15,21,3281,7546,,,,,,
2000,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,12.1,7.2,23,39,1979,4552,,,,,,
2000,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,12.0,7.4,24,38,1986,4568,,,,,,
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.3,6,A4,X,15.3,11.1,18,25,2682,6169,,,,,,
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.3,6,M5,X,16.9,12.4,17,23,2975,6843,,,,,,
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.8,8,A4,X,15.6,12.0,18,24,2796,6431,,,,,,
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK,4.8,8,M5,X,18.2,12.5,16,23,3127,7192,,,,,,
