MODEL,MANUFACTURER,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,FUEL,CO2 EMISSIONS ,,,,,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),CITY (mi./gal.),HWY (mi./gal.),(L) / YEAR,(kg) / YEAR,,,,,,
2003,ACURA,1.7EL,COMPACT,1.7,4,A4,X,8.2,6.0,34,47,1442,3317,,,,,,
2003,ACURA,1.7EL,COMPACT,1.7,4,M5,X,7.8,6.1,36,46,1407,3236,,,,,,
2003,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,12.0,7.4,24,38,1986,4568,,,,,,
2003,ACURA,3.2CL,COMPACT,3.2,6,M6,Z,12.3,7.7,23,37,2046,4706,,,,,,
2003,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,12.0,7.4,24,38,1986,4568,,,,,,
2003,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,13.2,9.1,21,31,2271,5223,,,,,,
2003,ACURA,MDX,SPECIAL PURPOSE,3.5,6,A5,Z,14.1,9.4,20,30,2397,5513,,,,,,
2003,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,13.7,9.2,21,31,2335,5371,,,,,,
2003,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,14.0,9.1,20,31,2359,5426,,,,,,
2003,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,9.6,6.5,29,43,1641,3774,,,,,,
2003,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,8.7,6.5,32,43,1542,3547,,,,,,
2003,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,9.7,6.9,29,41,1688,3882,,,,,,
2003,AUDI,A4,COMPACT,1.8,4,AV,Z,10.2,7.3,28,39,1779,4092,,,,,,
2003,AUDI,A4,COMPACT,3.0,6,AV,Z,11.7,7.7,24,37,1980,4554,,,,,,
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON,1.8,4,AS5,Z,11.6,7.6,24,37,1960,4508,,,,,,
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON,1.8,4,M5,Z,11.3,7.5,25,38,1918,4411,,,,,,
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2003,AUDI,A4 AVANT QUATTRO,STATION WAGON,3.0,6,M6,Z,13.4,8.7,21,32,2257,5191,,,,,,
2003,AUDI,A4 AVANT WAGON,STATION WAGON,1.8,4,AV,Z,10.2,7.3,28,39,1779,4092,,,,,,
2003,AUDI,A4 CABRIOLET,COMPACT,1.8,4,AV,Z,10.2,7.2,28,39,1770,4071,,,,,,
2003,AUDI,A4 CABRIOLET,COMPACT,3.0,6,AV,Z,11.5,8.1,25,35,1994,4586,,,,,,
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,11.6,7.6,24,37,1960,4508,,,,,,
2003,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,11.3,7.5,25,38,1918,4411,,,,,,
2003,AUDI,A4 QUATTRO,COMPACT,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2003,AUDI,A4 QUATTRO,COMPACT,3.0,6,M6,Z,13.4,8.7,21,32,2257,5191,,,,,,
2003,AUDI,A6,MID-SIZE,3.0,6,AV,Z,11.5,8.1,25,35,1994,4586,,,,,,
2003,AUDI,A6 AVANT QUATTRO,STATION WAGON,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2003,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,13.1,8.6,22,33,2215,5095,,,,,,
2003,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,13.1,8.5,22,33,2206,5074,,,,,,
2003,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS5,Z,12.8,8.4,22,34,2164,4977,,,,,,
2003,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS5,Z,13.8,8.7,20,32,2301,5292,,,,,,
